序号,题目ID,题目,答案,采集时间,来源
1,936299034,1. 水在生物体中的主要作用是什么？,作为溶剂,2026-09-18 20:46:35,错题采集
2,936299046,1. 下列分子中，哪一个是极性分子？,水（H2O）,2026-09-18 20:46:35,错题采集
3,936299057,3. 水分子之间存在哪种类型的非共价相互作用？,氢键,2026-09-18 20:46:35,错题采集
4,936299075,水是很好的溶剂，因此它可以溶解所有物质。,错,2026-09-18 20:46:35,错题采集
5,936299088,5. 水的哪个特性使其在生物体中具有调节温度的作用？,高比热容,2026-09-18 20:46:35,错题采集
6,936299096,5. 判断题：水的pH值对生物体的生理活动有重要影响。,对,2026-09-18 20:46:35,错题采集
7,936299895,1. 以下哪种氨基酸是必需氨基酸？,赖氨酸,2026-09-18 20:48:35,错题采集
8,936299896,2. 以下哪种氨基酸属于酸性氨基酸？,谷氨酸,2026-09-18 20:48:35,错题采集
9,936299900,5. 以下哪种氨基酸是芳香族氨基酸？,色氨酸,2026-09-18 20:48:35,错题采集
10,936300034,5. 单选题：下列哪种氨基酸疏水性较强？,色氨酸,2026-09-18 20:48:35,错题采集
11,936301054,"4. 单选题：在氨基酸的三字母缩写中，""Gly""代表的氨基酸是：",甘氨酸,2026-09-18 20:48:35,错题采集
12,928993192,胃蛋白酶的等电点是1.0-2.5，这是由( )决定的。,氨基酸的种类和数量,2026-09-18 20:49:57,错题采集
13,928993194,蛋白质在280nm有最大特征吸收峰，是由于含有的( )氨基酸残基。,芳香族,2026-09-18 20:49:57,错题采集
14,936299704,以下哪种氨基酸是必需氨基酸？,赖氨酸,2026-09-18 20:49:57,错题采集
15,936299708,以下哪种氨基酸的R基含有一个硫原子？,半胱氨酸,2026-09-18 20:49:57,错题采集
16,936300116,3. 在氨基酸的离子交换柱层析中，以下哪种氨基酸的洗脱顺序最不确定？,亮氨酸,2026-09-18 20:51:49,错题采集
17,936300119,4. 在氨基酸的阳离子交换柱层析中，以下哪种氨基酸的洗脱需要较高的离子强度？,精氨酸,2026-09-18 20:51:49,错题采集
18,936300995,1. 判断题：氨基酸的薄层层析是一种定量分析方法。,错,2026-09-18 20:51:49,错题采集
19,936300998,2. 判断题：在进行氨基酸分离的离子交换层析中，所有的氨基酸都会在相同的速度下移动。,错,2026-09-18 20:51:49,错题采集
